Produzione di Rifiuti Urbani nella Regione Veneto - Anno 2015;;;;;;;;;;;;;;;;;;;
Bacino;Comune; Popolazione (n°); FORSU (kg); VERDE (kg); VETRO (kg); CARTA E CARTONE (kg); PLASTICA (kg);IMBALLAGGI METALLICI (kg);RAEE (kg); MULTIMATERIALE (kg); ALTRO RECUPERABILE (kg); RIFIUTI PARTICOLARI (kg);INGOMBRANTI (KG);SPAZZAMENTO (kg);CER 200301 - 200203 (kg); RIFIUTO TOTALE (kg); % RD (DGRV 288/14);UTENZE COMP. DOM. (n°);
;Portobuffolè; 755 ; 80.530 ; 33.870 ; 39.083 ; 43.960 ; 1.506 ;; 4.969 ; 21.010 ; 13.305 ; 831 ; 8.126 ; 1.580 ; 30.980 ; 279.750 ; 84,5 ;;
;Refrontolo; 1.747 ; 66.540 ; 60.730 ; 91.740 ; 84.850 ; 10.930 ;; 6.869 ; 52.550 ; 47.573 ; 2.642 ; 20.880 ; 3.100 ; 43.500 ; 491.904 ; 85,0 ; 579 ;
;Revine Lago; 2.208 ; 110.200 ; 19.701 ; 83.056 ; 100.210 ; 9.280 ;; 13.045 ; 61.395 ; 47.356 ; 3.345 ; 20.920 ; 20.140 ; 84.965 ; 573.613 ; 76,5 ; 625 ;
;Salgareda; 6.688 ; 504.640 ; 577.340 ; 203.070 ; 269.950 ; 24.430 ;; 43.505 ; 207.070 ; 150.571 ; 10.194 ; 83.860 ; 61.980 ; 199.580 ; 2.336.190 ; 83,9 ; 775 ;
;San Fior; 6.970 ; 413.000 ; 256.080 ; 238.270 ; 335.030 ; 25.130 ;; 23.801 ; 210.830 ; 86.132 ; 7.886 ; 42.260 ; 18.660 ; 285.900 ; 1.942.979 ; 80,2 ; 1.245 ;
;San Pietro di Feletto; 5.321 ; 345.460 ; 192.520 ; 222.290 ; 236.130 ; 14.935 ;; 27.820 ; 158.940 ; 105.325 ; 9.502 ; 70.540 ; -   ; 200.990 ; 1.584.452 ; 81,8 ; 886 ;
;San Polo di Piave; 4.857 ; 297.090 ; 161.613 ; 158.791 ; 236.912 ; 26.528 ;; 30.418 ; 145.900 ; 106.211 ; 5.701 ; 54.756 ; 49.480 ; 205.440 ; 1.478.840 ; 77,8 ; 842 ;
;San Vendemiano; 10.054 ; 1.084.880 ; 487.970 ; 362.280 ; 619.180 ; 68.610 ;; 52.066 ; 329.320 ; 203.650 ; 18.102 ; 105.020 ; 89.760 ; 533.090 ; 3.953.928 ; 80,4 ; 979 ;
;Santa Lucia di Piave; 9.151 ; 721.360 ; 410.320 ; 290.550 ; 465.915 ; 48.940 ;; 58.936 ; 255.040 ; 193.932 ; 17.028 ; 69.680 ; 11.200 ; 423.970 ; 2.966.871 ; 81,6 ; 798 ;
;Sarmede; 3.086 ; 159.300 ; 59.868 ; 98.274 ; 127.033 ; 4.712 ;; 26.032 ; 79.568 ; 57.688 ; 3.332 ; 23.139 ; 24.300 ; 94.623 ; 757.869 ; 79,6 ; 664 ;
;Segusino; 1.887 ; 84.440 ; 40.700 ; 70.380 ; 110.850 ; 9.640 ;; 14.350 ; 58.290 ; 51.945 ; 4.641 ; 34.560 ; 16.620 ; 65.800 ; 562.216 ; 78,5 ; 447 ;
;Sernaglia della Battaglia; 6.202 ; 199.180 ; 593.380 ; 226.860 ; 307.970 ; 57.260 ;; 50.737 ; 173.220 ; 201.194 ; 9.623 ; 108.560 ; 25.840 ; 180.800 ; 2.134.624 ; 84,8 ; 1.885 ;
;Tarzo; 4.399 ; 294.580 ; 39.249 ; 178.124 ; 205.250 ; 18.490 ;; 16.439 ; 140.820 ; 57.826 ; 8.235 ; 41.680 ; 9.160 ; 228.760 ; 1.238.613 ; 75,7 ; 1.314 ;
;Valdobbiadene; 10.388 ; 774.960 ; 181.000 ; 641.230 ; 652.790 ; 34.330 ;; 76.193 ; 339.660 ; 233.907 ; 15.762 ; 152.140 ; 125.610 ; 665.830 ; 3.893.412 ; 74,8 ; 1.967 ;
;Vazzola; 7.001 ; 417.320 ; 259.630 ; 240.090 ; 351.520 ; 55.280 ;; 33.892 ; 205.560 ; 151.093 ; 8.432 ; 90.180 ; 36.120 ; 310.930 ; 2.160.047 ; 78,7 ; 1.184 ;
;Vidor; 3.766 ; 273.400 ; 78.020 ; 170.560 ; 208.920 ; 27.800 ;; 22.384 ; 123.365 ; 88.919 ; 5.589 ; 29.240 ; 61.400 ; 169.710 ; 1.259.307 ; 77,6 ; 444 ;
;Vittorio Veneto; 28.232 ; 2.979.620 ; 686.360 ; 1.108.550 ; 1.511.850 ; 82.400 ;; 166.123 ; 947.480 ; 526.604 ; 36.294 ; 235.800 ; 183.720 ; 1.304.630 ; 9.769.431 ; 80,7 ; 2.266 ;
SINISTRA PIAVE Totale;; 304.815 ; 23.347.340 ; 14.038.711 ; 11.852.242 ; 16.118.108 ; 1.475.692 ; 370 ; 1.701.140 ; 9.316.300 ; 6.437.771 ; 444.369 ; 3.800.197 ; 2.336.400 ; 13.616.120 ; 104.484.760 ; 80,0 ; 44.676 ;
VENEZIA;Annone Veneto; 3.954 ; 297.080 ; 209.703 ; 147.899 ; 291.280 ; 1.456 ;; 13.072 ; 133.220 ; 31.481 ; 3.726 ; 17.467 ; 35.600 ; 294.200 ; 1.476.184 ; 75,3 ; 456 ;
;Campagna Lupia; 7.142 ; 698.358 ; 550.053 ;; 309.136 ; 159.471 ;; 28.464 ; 281.190 ; 34.240 ; 13.259 ; 36.607 ; 58.100 ; 544.014 ; 2.712.892 ; 76,4 ; 304 ;
;Campolongo Maggiore; 10.530 ; 891.266 ; 463.251 ;; 470.402 ; 230.648 ;; 40.647 ; 375.125 ; 49.315 ; 16.438 ; 56.148 ; 79.120 ; 662.372 ; 3.334.732 ; 76,3 ; 738 ;
;Camponogara; 13.154 ; 920.429 ; 768.043 ;; 601.440 ; 309.795 ;; 40.033 ; 477.773 ; 54.900 ; 22.288 ; 64.070 ; 81.880 ; 852.505 ; 4.193.156 ; 76,1 ; 854 ;
;Caorle; 11.668 ; 1.956.290 ; 1.303.022 ; 2.564 ; 1.109.900 ; 8.272 ;; 93.472 ; 1.813.720 ; 268.446 ; 11.187 ; 113.245 ; 422.600 ; 7.642.450 ; 14.745.168 ; 42,3 ; 326 ;
;Cavallino-Treporti; 13.501 ; 2.362.680 ; 6.298.920 ; 19.560 ; 1.132.270 ; 35.370 ;; 120.761 ; 2.225.950 ; 440.135 ; 36.318 ; 306.640 ; 169.550 ; 4.838.610 ; 17.986.764 ; 67,6 ; 330 ;
;Cavarzere; 14.193 ; 959.500 ; 1.086.480 ;; 760.900 ;;; 71.034 ; 966.480 ; 178.980 ; 13.349 ; 103.840 ; 54.280 ; 1.725.500 ; 5.920.343 ; 64,8 ; 555 ;
;Ceggia; 6.196 ; 388.980 ; 350.280 ;; 391.980 ;;; 35.617 ; 464.840 ; 142.491 ; 14.017 ; 65.610 ; 39.940 ; 250.720 ; 2.144.475 ; 81,1 ; 832 ;
;Chioggia; 49.706 ; 5.571.160 ; 1.032.350 ;; 3.188.480 ; 42.080 ;; 229.088 ; 5.032.740 ; 1.579.230 ; 43.161 ; 512.950 ; 164.310 ; 9.798.090 ; 27.193.639 ; 57,0 ; 358 ;
;Cinto Caomaggiore; 3.243 ; 217.720 ; 161.760 ; 126.450 ; 152.580 ; 3.680 ;; 25.637 ; 101.880 ; 28.440 ; 4.607 ; 36.280 ; 9.520 ; 190.550 ; 1.059.104 ; 77,3 ; 577 ;
;Cona; 2.985 ; 256.130 ; 334.920 ; 64.300 ; 123.000 ; 950 ;; 19.490 ; 105.600 ; 23.340 ; 3.681 ; 54.060 ; 21.520 ; 268.100 ; 1.275.091 ; 71,1 ; 216 ;
;Concordia Sagittaria; 10.386 ; 820.800 ; 651.780 ; 335.880 ; 570.190 ; 9.835 ;; 57.512 ; 359.330 ; 129.571 ; 13.916 ; 71.760 ; 113.340 ; 856.560 ; 3.990.474 ; 73,0 ; 986 ;
;Dolo; 14.889 ; 1.375.464 ; 1.227.250 ;; 813.278 ; 3.450 ;; 77.582 ; 1.067.010 ; 68.223 ; 22.313 ; 229.409 ; 187.700 ; 2.593.029 ; 7.664.708 ; 59,8 ;;
;Eraclea; 12.396 ; 1.472.870 ; 1.421.120 ;; 664.720 ;;; 61.969 ; 951.970 ; 190.517 ; 25.359 ; 119.170 ; 69.850 ; 1.991.210 ; 6.968.755 ; 67,5 ; 914 ;
;Fiesso d'Artico; 8.124 ; 719.761 ; 340.660 ;; 399.500 ; 3.100 ;; 22.338 ; 438.030 ; 29.460 ; 7.066 ; 48.220 ; 90.700 ; 808.965 ; 2.907.800 ; 67,8 ; 325 ;
;Fossalta di Piave; 4.134 ; 364.240 ; 472.860 ;; 220.100 ;;; 12.633 ; 261.460 ; 280 ; 6.044 ; 38.590 ; 51.100 ; 444.400 ; 1.871.707 ; 70,3 ; 383 ;
;Fossalta di Portogruaro; 6.054 ; 447.340 ; 510.815 ; 113.878 ; 456.498 ; 8.775 ;; 54.174 ; 362.370 ; 89.509 ; 9.349 ; 63.076 ; 51.660 ; 581.870 ; 2.749.314 ; 73,2 ; 545 ;
;Fossò; 7.008 ; 786.769 ; 589.658 ;; 360.679 ; 170.903 ;; 26.751 ; 266.597 ; 42.805 ; 10.888 ; 68.580 ; 68.940 ; 578.610 ; 2.971.180 ; 76,5 ;;
;Gruaro; 2.811 ; 194.420 ; 182.740 ; 115.500 ; 181.160 ; 4.520 ;; 15.912 ; 101.760 ; 41.042 ; 4.207 ; 28.580 ; -   ; 247.060 ; 1.116.901 ; 74,7 ; 533 ;
;Iesolo; 26.144 ; 4.448.670 ; 2.134.005 ; 11.200 ; 2.574.790 ;;; 123.589 ; 3.334.240 ; 496.289 ; 18.800 ; 457.840 ; 516.340 ; 15.097.870 ; 29.213.633 ; 44,1 ; 910 ;
;Marcon; 17.380 ; 1.715.300 ; 1.345.580 ; 12.970 ; 1.580.130 ; 548.040 ;; 82.362 ; 607.270 ; 315.529 ; 34.784 ; 253.840 ; 78.280 ; 1.745.560 ; 8.319.645 ; 75,3 ;;
;Martellago; 21.528 ; 1.801.220 ; 2.472.180 ; 22.540 ; 1.372.702 ; 1.426 ;; 93.938 ; 1.567.940 ; 421.807 ; 27.539 ; 338.273 ; 210.850 ; 1.765.552 ; 10.095.967 ; 75,4 ; 1.645 ;
;Meolo; 6.427 ; 687.900 ; 391.480 ; 8.930 ; 327.750 ; 5.710 ;; 39.666 ; 413.840 ; 192.836 ; 12.651 ; 115.740 ; 33.220 ; 500.040 ; 2.729.763 ; 74,1 ; 527 ;
;Mira; 38.575 ; 2.750.380 ; 3.770.540 ; 19.900 ; 1.851.710 ; 25.420 ;; 160.821 ; 2.183.266 ; 513.812 ; 43.778 ; 773.080 ; 305.940 ; 7.064.720 ; 19.463.367 ; 58,2 ; 2.437 ;
;Mirano; 27.045 ; 2.698.360 ; 2.446.600 ; 54.900 ; 2.006.960 ; 12.930 ;; 107.098 ; 2.213.587 ; 1.028.712 ; 27.830 ; 758.420 ; 296.260 ; 3.044.301 ; 14.695.958 ; 71,5 ; 2.725 ;
;Mogliano Veneto; 27.659 ; 2.125.960 ; 1.885.820 ; 1.600 ; 1.636.200 ;;; 130.678 ; 1.864.540 ; 476.245 ; 44.335 ; 334.660 ; 342.380 ; 2.917.240 ; 11.759.658 ; 69,9 ; 1.685 ;
;Musile di Piave; 11.522 ; 964.890 ; 1.049.060 ; 9.850 ; 515.710 ; 4.930 ;; 35.209 ; 635.330 ; 213.530 ; 20.448 ; 142.490 ; 82.180 ; 1.140.460 ; 4.814.087 ; 70,9 ; 853 ;
;Noale; 15.969 ; 1.435.020 ; 1.413.350 ; 14.380 ; 913.800 ; 800 ;; 44.445 ; 1.214.350 ; 253.193 ; 15.473 ; 170.143 ; 255.980 ; 1.563.030 ; 7.293.964 ; 71,2 ; 1.418 ;
;Noventa di Piave; 6.981 ; 740.300 ; 763.210 ;; 403.180 ;;; 21.333 ; 494.920 ; 580 ; 13.149 ; 52.690 ; 54.520 ; 930.500 ; 3.474.382 ; 69,7 ; 338 ;
;Pianiga; 12.280 ; 1.029.060 ; 1.146.220 ; 359.980 ; 657.380 ; 2.500 ;; 50.684 ; 372.080 ; 144.787 ; 10.750 ; 135.264 ; 124.540 ; 1.147.920 ; 5.181.165 ; 74,0 ; 476 ;
;Portogruaro; 25.142 ; 2.234.230 ; 1.423.328 ; 214.398 ; 1.630.146 ; 11.713 ;; 125.116 ; 1.718.310 ; 238.488 ; 28.223 ; 245.843 ; 271.320 ; 2.299.880 ; 10.440.995 ; 71,1 ; 1.636 ;
;Pramaggiore; 4.654 ; 336.180 ; 194.009 ; 178.358 ; 250.454 ; 4.007 ;; 35.870 ; 192.420 ; 56.903 ; 7.485 ; 48.055 ; 1.000 ; 330.110 ; 1.634.851 ; 75,7 ; 540 ;
;Quarto d'Altino; 8.208 ; 803.300 ; 747.900 ; 48.150 ; 491.320 ; 222.530 ;; 42.250 ; 273.950 ; 143.832 ; 16.718 ; 102.080 ; 49.360 ; 993.600 ; 3.934.990 ; 71,2 ; 114 ;
;Salzano; 12.777 ; 778.341 ; 518.910 ; 11.080 ; 473.786 ; 123.260 ;; 56.751 ; 519.020 ; 202.076 ; 16.446 ; 201.943 ; 139.640 ; 891.716 ; 3.932.969 ; 70,9 ; 1.401 ;
;San Donà di Piave; 41.778 ; 4.027.400 ; 4.270.450 ; 45.910 ; 2.742.010 ; 52.860 ;; 187.494 ; 2.845.420 ; 634.482 ; 67.973 ; 228.350 ; 181.260 ; 4.133.370 ; 19.416.979 ; 73,5 ; 2.058 ;
;San Michele al Tagliamento; 11.930 ; 2.053.740 ; 3.133.750 ; 4.880 ; 1.320.910 ; 8.850 ;; 61.647 ; 2.043.270 ; 361.500 ; 11.780 ; 194.240 ; 562.920 ; 7.656.860 ; 17.414.347 ; 50,0 ; 680 ;
;Santa Maria di Sala; 17.602 ; 1.567.880 ; 1.675.470 ; 19.500 ; 1.125.060 ; 2.150 ;; 109.370 ; 1.366.310 ; 282.774 ; 20.321 ; 226.860 ; 225.100 ; 1.518.901 ; 8.139.696 ; 74,3 ; 1.006 ;
;Santo Stino di Livenza; 12.928 ; 909.000 ; 820.154 ; 301.496 ; 674.900 ; 12.678 ;; 91.495 ; 512.370 ; 151.162 ; 17.932 ; 119.215 ; 240.460 ; 939.990 ; 4.790.852 ; 71,9 ; 1.321 ;
;Scorzè; 18.863 ; 1.569.240 ; 1.659.530 ; 15.880 ; 1.284.390 ; 5.800 ;; 75.958 ; 1.450.750 ; 344.575 ; 22.587 ; 471.828 ; 120.380 ; 1.479.380 ; 8.500.298 ; 74,0 ; 2.685 ;
;Spinea; 27.927 ; 2.734.730 ; 1.959.760 ; 7.820 ; 1.621.495 ; 3.140 ;; 143.800 ; 2.037.333 ; 403.982 ; 34.382 ; 516.495 ; 299.540 ; 1.848.410 ; 11.610.887 ; 75,8 ; 1.385 ;
;Stra; 7.627 ; 551.380 ; 431.112 ;; 296.080 ; 2.400 ;; 19.062 ; 417.470 ; 62.520 ; 7.317 ; 54.760 ; 87.580 ; 639.010 ; 2.568.691 ; 70,5 ; 538 ;
;Teglio Veneto; 2.285 ; 123.980 ; 93.644 ; 90.082 ; 122.482 ; 1.091 ;; 6.698 ; 70.980 ; 13.912 ; 2.536 ; 7.964 ; -   ; 158.010 ; 691.379 ; 74,8 ; 377 ;
;Torre di Mosto; 4.749 ; 370.770 ; 414.110 ;; 207.700 ;;; 20.794 ; 277.650 ; 63.196 ; 7.118 ; 76.520 ; 38.160 ; 407.960 ; 1.883.978 ; 72,1 ; 318 ;
;Venezia; 263.352 ; 20.449.917 ; 13.501.580 ; 286.970 ; 21.752.150 ; 103.410 ;; 1.193.390 ; 22.074.070 ; 4.499.689 ; 360.012 ; 4.407.761 ; 1.343.960 ; 71.169.400 ; 161.142.309 ; 50,4 ; 5.331 ;
;Vigonovo; 9.972 ; 774.276 ; 476.249 ;; 512.629 ; 234.112 ;; 39.749 ; 347.492 ; 17.470 ; 7.710 ; 145.820 ; 124.440 ; 881.430 ; 3.561.377 ; 69,5 ; 578 ;
VENEZIA Totale;; 883.378 ; 80.382.681 ; 68.093.666 ; 2.666.805 ; 60.543.317 ; 2.382.062 ;; 4.145.453 ; 66.835.223 ; 14.956.286 ; 1.179.250 ; 12.614.476 ; 7.755.320 ; 167.434.035 ; 488.988.574 ; 60,0 ; 42.214 ;
VERONA SUD;Albaredo d'Adige; 5.314 ; 370.000 ; 289.640 ; 189.160 ; 207.950 ;;; 29.861 ; 133.280 ; 112.820 ; 2.977 ; 96.600 ; 34.040 ; 510.610 ; 1.976.938 ; 68,4 ; 182 ;
;Angiari; 2.226 ; 186.320 ; 176.930 ; 71.500 ; 104.210 ;;; 1.350 ; 90.900 ; 10.963 ; 1.970 ; 24.680 ; 16.100 ; 195.830 ; 880.753 ; 75,7 ;;
;Arcole; 6.210 ; 499.240 ; 337.720 ; 203.580 ; 244.570 ;;; 5.110 ; 159.470 ;; 4.304 ; 24.990 ; 84.760 ; 782.320 ; 2.346.064 ; 60,7 ;;
;Belfiore; 3.102 ; 220.310 ; 214.990 ; 97.800 ; 138.320 ;;; 1.264 ; 118.410 ; 14.570 ; 1.846 ; 33.440 ; 17.960 ; 230.283 ; 1.089.193 ; 76,6 ; 334 ;
;Bevilacqua; 1.758 ; 177.340 ; 196.600 ; 2.820 ; 73.050 ;;;; 116.840 ;; 150 ; 9.120 ; 6.180 ; 181.120 ; 763.220 ; 70,1 ;;
;Bonavigo; 2.010 ; 189.490 ; 207.220 ; 57.060 ; 106.800 ; 4 ;; 1.900 ; 65.990 ; 9.707 ; 887 ; 6.420 ; 15.620 ; 161.000 ; 822.098 ; 76,5 ;;
;Boschi Sant'Anna; 1.431 ; 95.000 ; 60.440 ; 45.090 ; 49.670 ;;; 4.436 ; 32.440 ; 71.186 ; 1.795 ; 22.440 ; 8.040 ; 135.570 ; 526.107 ; 68,6 ;;
;Bovolone; 16.050 ; 1.299.580 ; 1.550.940 ; 619.010 ; 860.970 ; 6.000 ; 340 ; 79.387 ; 538.010 ; 704.290 ; 20.067 ; 400.120 ; 143.800 ; 1.106.840 ; 7.329.354 ; 77,8 ; 500 ;
;Casaleone; 5.900 ; 426.840 ; 481.580 ; 213.720 ; 267.940 ; 3.530 ;; 17.720 ; 209.940 ; 87.920 ; 6.603 ; 38.800 ; 46.870 ; 452.410 ; 2.253.873 ; 77,9 ; 460 ;
;Castagnaro; 3.750 ; 317.150 ; 417.970 ; 131.030 ; 160.500 ;;; 13.486 ; 98.170 ; 47.740 ; 3.370 ; 79.520 ; 15.240 ; 463.340 ; 1.747.516 ; 68,1 ;;
;Cerea; 16.529 ; 1.230.520 ; 1.517.300 ; 648.140 ; 892.230 ; 20.060 ;; 53.181 ; 506.230 ; 334.966 ; 9.570 ; 166.600 ; 225.820 ; 1.883.680 ; 7.488.297 ; 69,0 ; 468 ;
;Cologna Veneta; 8.646 ; 574.860 ; 418.455 ; 291.600 ; 449.840 ; 17.220 ; 160 ; 40.426 ; 246.910 ; 264.600 ; 6.476 ; 96.060 ; 136.680 ; 899.640 ; 3.442.927 ; 66,6 ; 239 ;
;Concamarise; 1.083 ; 74.520 ; 79.940 ; 44.790 ; 41.900 ;;;; 33.510 ; 9.630 ; 494 ; 1.440 ; 10.960 ; 54.880 ; 352.064 ; 82,6 ; 114 ;
;Erbè; 1.836 ; 109.980 ; 86.700 ; 64.400 ; 82.700 ;;; 6.908 ; 47.380 ; 36.240 ; 2.060 ; 3.130 ; 17.560 ; 87.340 ; 544.398 ; 82,6 ; 118 ;
;Gazzo Veronese; 5.405 ; 360.560 ; 535.540 ; 195.740 ; 259.450 ; 1.870 ; 580 ; 20.823 ; 248.100 ; 47.260 ; 5.236 ; 38.360 ; 30.360 ; 414.430 ; 2.158.309 ; 78,4 ; 532 ;
;Isola della Scala; 11.577 ; 1.060.920 ; 684.860 ; 426.600 ; 571.920 ; 3.190 ;; 37.738 ; 441.290 ; 151.870 ; 13.693 ; 134.730 ; 148.160 ; 570.040 ; 4.245.011 ; 83,9 ;;
;Isola Rizza; 3.284 ; 296.180 ; 92.900 ; 129.390 ; 197.540 ;;; 11.635 ; 150.540 ; 62.710 ; 3.884 ; 34.840 ; -   ; 186.370 ; 1.165.989 ; 81,3 ; 372 ;
;Legnago; 25.351 ; 2.300.730 ; 2.452.300 ; 948.440 ; 1.650.150 ; 37.720 ;; 103.387 ; 797.820 ; 725.636 ; 20.476 ; 108.280 ; 543.920 ; 3.025.430 ; 12.714.289 ; 70,2 ; 587 ;
;Minerbe; 4.621 ; 350.030 ; 451.800 ; 149.970 ; 197.690 ; 12.210 ;; 16.227 ; 116.650 ; 117.246 ; 3.392 ; 57.975 ; 43.020 ; 546.580 ; 2.062.790 ; 68,4 ;;
;Nogara; 8.662 ; 794.300 ; 628.320 ; 349.370 ; 459.790 ; 1.230 ; 1.250 ; 31.967 ; 343.670 ; 93.435 ; 10.743 ; 73.880 ; 131.200 ; 840.130 ; 3.759.285 ; 75,4 ; 239 ;
;Nogarole Rocca; 3.677 ; 325.010 ; 287.360 ; 113.160 ; 190.670 ;;; 11.694 ; 135.730 ; 71.330 ; 4.580 ; 77.390 ; 53.480 ; 280.430 ; 1.550.834 ; 79,2 ;;
;Oppeano; 9.831 ; 909.820 ; 617.650 ; 326.340 ; 447.610 ;;; 31.283 ; 352.340 ; 84.590 ; 10.263 ; 66.460 ; 103.330 ; 750.420 ; 3.700.106 ; 77,9 ;;
;Palù; 1.256 ; 113.380 ; 40.920 ; 44.400 ; 54.130 ;;; 326 ; 45.540 ; 5.020 ; 873 ; 4.220 ; -   ; 68.867 ; 377.676 ; 80,0 ; 125 ;
;Pressana; 2.512 ; 172.380 ; 264.810 ; 78.420 ; 106.140 ;;;; 67.940 ; 10.759 ; 637 ; 6.480 ; 15.570 ; 265.770 ; 988.906 ; 69,8 ; 22 ;
;Ronco all'Adige; 6.100 ; 449.670 ; 265.880 ; 198.330 ; 150.050 ;;; 8.739 ; 147.200 ; 77.510 ; 3.095 ; 124.180 ; 52.500 ; 506.000 ; 1.983.154 ; 65,7 ; 423 ;
;Roverchiara; 2.764 ; 206.010 ; 158.330 ; 91.200 ; 121.270 ;;; 8.560 ; 102.030 ; 29.865 ; 2.887 ; 27.930 ; 14.000 ; 144.030 ; 906.112 ; 81,3 ;;
;Roveredo di Guà; 1.573 ; 84.010 ; 54.390 ; 43.220 ; 61.070 ;;;; 40.230 ; 15.180 ; 913 ; 33.980 ; 7.450 ; 104.000 ; 444.443 ; 67,9 ; 260 ;
;Salizzole; 3.755 ; 272.940 ; 285.260 ; 127.500 ; 184.160 ;;; 11.592 ; 177.140 ; 54.460 ; 4.410 ; 36.120 ; 23.840 ; 221.060 ; 1.398.482 ; 80,0 ; 326 ;
;San Giovanni Lupatoto; 25.066 ; 2.166.830 ; 1.850.590 ; 876.820 ; 1.640.130 ; 31.800 ;; 218.854 ; 843.420 ; 556.825 ; 41.379 ; 211.770 ; 298.960 ; 2.419.570 ; 11.156.948 ; 72,5 ;;
;San Pietro di Morubio; 3.040 ; 243.060 ; 141.160 ; 107.490 ; 155.650 ;;; 12.750 ; 131.230 ; 46.946 ; 3.502 ; 66.080 ; 18.090 ; 143.340 ; 1.069.298 ; 83,0 ; 213 ;
;Sanguinetto; 4.101 ; 300.260 ; 371.470 ; 151.440 ; 210.620 ; 8.500 ;; 14.795 ; 110.140 ; 140.552 ; 2.478 ; 52.310 ; 66.840 ; 445.560 ; 1.874.965 ; 69,6 ; 4 ;
;Sorgà; 3.060 ; 221.200 ; 190.320 ; 108.850 ; 152.790 ;;; 16.098 ; 112.100 ; 49.160 ; 5.464 ; 34.910 ; 23.420 ; 203.410 ; 1.117.722 ; 79,4 ; 241 ;
;Terrazzo; 2.254 ; 176.820 ; 160.520 ; 75.870 ; 81.220 ;;; 9.654 ; 87.260 ; 71.540 ; 2.851 ; 41.650 ; 9.220 ; 140.950 ; 857.555 ; 80,7 ;;
;Trevenzuolo; 2.764 ; 203.600 ; 218.900 ; 96.170 ; 126.000 ;;; 7.400 ; 119.330 ; 68.700 ; 2.303 ; 45.820 ; 29.040 ; 220.170 ; 1.137.433 ; 78,0 ;;
;Veronella; 5.010 ; 330.010 ; 367.590 ; 153.900 ; 181.510 ;;;; 118.720 ;; 1.337 ; 21.790 ; 48.620 ; 482.980 ; 1.706.457 ; 66,7 ;;
;Vigasio; 9.955 ; 729.320 ; 737.510 ; 318.030 ; 419.770 ;;; 22.697 ; 277.290 ; 96.710 ; 10.529 ; 86.930 ; 101.250 ; 781.860 ; 3.581.896 ; 76,6 ; 1.304 ;
;Villa Bartolomea; 5.824 ; 435.790 ; 629.730 ; 218.755 ; 221.580 ;;; 28.899 ; 180.060 ; 100.150 ; 12.135 ; 118.170 ; 47.780 ; 578.960 ; 2.572.009 ; 70,7 ;;
;Zevio; 14.953 ; 1.510.370 ; 1.310.130 ; 568.080 ; 888.980 ; 112.540 ;; 64.981 ; 315.810 ; 484.741 ; 27.264 ; 447.390 ; 186.320 ; 1.088.010 ; 7.004.616 ; 76,1 ; 395 ;
;Zimella; 4.952 ; 276.650 ; 321.690 ; 164.260 ; 191.960 ; 17.800 ;; 17.847 ; 115.140 ; 76.768 ; 4.255 ; 84.815 ; 4.560 ; 401.420 ; 1.677.165 ; 71,0 ; 617 ;
VERONA SUD Totale;; 247.192 ; 20.061.000 ; 19.156.355 ; 8.741.445 ; 12.602.500 ; 273.674 ; 2.330 ; 962.975 ; 7.974.200 ; 4.943.595 ; 261.148 ; 3.039.820 ; 2.780.560 ; 21.974.650 ; 102.774.252 ; 73,5 ; 8.075 ;
VICENZA;Agugliaro; 1.404 ; 82.810 ; 35.800 ; 35.060 ; 59.520 ;;;; 48.860 ;; 167 ; 2.540 ; -   ; 57.000 ; 321.757 ; 79,2 ; 251 ;
;Albettone; 2.081 ; 133.920 ; 119.430 ; 67.000 ; 72.100 ; 1.940 ;; 1.000 ; 56.200 ; 14.630 ; 749 ; 620 ; 18.300 ; 248.040 ; 733.929 ; 61,9 ; 421 ;
;Alonte; 1.665 ; 97.840 ; 60.740 ; 49.740 ; 81.876 ;;; 5.371 ; 54.830 ; 36.920 ; 1.739 ; 49.540 ; 28.070 ; 84.810 ; 551.476 ; 76,4 ;;
;Altavilla Vicentina; 12.056 ; 1.358.890 ; 590.360 ; 380.740 ; 628.750 ; 15.355 ;; 74.581 ; 335.970 ; 329.090 ; 17.278 ; 378.310 ; 311.390 ; 689.050 ; 5.109.764 ; 79,9 ; 185 ;
;Altissimo; 2.214 ; 112.430 ;; 60.520 ; 67.980 ;;; 9.790 ; 47.520 ; 18.683 ; 2.141 ; 46.580 ; -   ; 135.800 ; 501.444 ; 65,8 ; 198 ;
;Arcugnano; 7.820 ; 565.820 ; 311.230 ; 310.270 ; 356.050 ; 1.200 ;; 56.335 ; 224.200 ; 233.245 ; 12.230 ; 197.790 ; 48.720 ; 424.910 ; 2.742.000 ; 78,9 ; 848 ;
;Arsiero; 3.192 ; 136.530 ; 47.002 ; 122.705 ; 115.692 ;; 572 ; 20.546 ; 62.800 ; 62.150 ; 4.932 ; 51.961 ; 13.130 ; 358.430 ; 996.450 ; 58,0 ; 876 ;
;Arzignano; 25.844 ; 2.139.770 ; 645.840 ; 900.120 ; 1.272.530 ;;; 146.068 ; 736.680 ; 485.237 ; 19.189 ; 309.150 ; 951.280 ; 2.218.500 ; 9.824.364 ; 70,1 ; 493 ;
;Asigliano Veneto; 848 ; 40.850 ; 25.070 ; 23.760 ; 30.130 ;;; 3.010 ; 23.240 ; 6.960 ; 285 ; 23.680 ; 3.300 ; 46.720 ; 227.005 ; 72,1 ; 164 ;
