Produzione di Rifiuti Urbani nella Regione Veneto - Anno 2015;;;;;;;;;;;;;;;;;;;
Bacino;Comune; Popolazione (n°); FORSU (kg); VERDE (kg); VETRO (kg); CARTA E CARTONE (kg); PLASTICA (kg);IMBALLAGGI METALLICI (kg);RAEE (kg); MULTIMATERIALE (kg); ALTRO RECUPERABILE (kg); RIFIUTI PARTICOLARI (kg);INGOMBRANTI (KG);SPAZZAMENTO (kg);CER 200301 - 200203 (kg); RIFIUTO TOTALE (kg); % RD (DGRV 288/14);UTENZE COMP. DOM. (n°);
;Voltago Agordino; 862 ; 75.177 ; 8.943 ; 54.278 ; 61.539 ; 6.374 ;; 9.078 ; 41.868 ; 49.953 ; 2.953 ; 17.708 ; 12.637 ; 63.300 ; 403.808 ; 75,6 ; 314 ;
;Zoldo Alto; 912 ; 106.890 ; 2.560 ; 8.170 ; 63.219 ;;; 5.056 ; 120.399 ; 34.800 ; 2.045 ; 17.727 ; -   ; 86.930 ; 447.796 ; 71,0 ; 322 ;
;Zoppè di Cadore; 229 ; 15.240 ; 85 ;; 7.043 ;;; 1.520 ; 10.747 ; 3.283 ; 384 ; 2.132 ; -   ; 8.660 ; 49.094 ; 73,3 ; 44 ;
BELLUNO Totale;; 206.960 ; 16.351.351 ; 2.089.381 ; 3.854.244 ; 13.266.549 ; 2.261.950 ;; 1.470.922 ; 11.460.473 ; 7.967.859 ; 458.600 ; 3.115.441 ; 3.497.571 ; 18.043.778 ; 83.838.119 ; 71,0 ; 41.127 ;
BRENTA;Asiago; 6.426 ; 362.160 ; 197.700 ; 374.820 ; 472.970 ; 285.340 ;; 37.430 ; -   ; 20.645 ; 5.027 ; 63.020 ; 504.000 ; 2.069.480 ; 4.392.592 ; 46,7 ; 663 ;
;Bassano del Grappa; 43.372 ; 4.303.070 ; 3.463.359 ; 1.808.757 ; 3.038.988 ; 1.427.429 ;; 231.573 ; -   ; 851.920 ; 85.063 ; 613.819 ; 725.560 ; 4.952.320 ; 21.501.858 ; 73,5 ; 1.150 ;
;Borgoricco; 8.755 ; 513.380 ; 387.921 ; 342.012 ; 463.416 ; 7.654 ;; 34.456 ; 348.160 ; 64.407 ; 7.754 ; 46.783 ; 6.300 ; 781.670 ; 3.003.913 ; 70,8 ; 1.209 ;
;Cadoneghe; 16.206 ; 1.521.540 ; 926.739 ; 455.025 ; 777.098 ; 45.388 ;; 65.026 ; 502.720 ; 223.617 ; 13.987 ; 103.269 ; 148.600 ; 1.559.410 ; 6.342.419 ; 71,3 ; 445 ;
;Campo San Martino; 5.752 ; 325.700 ; 167.075 ; 172.822 ; 470.539 ; 2.202 ;; 24.183 ; 191.100 ; 57.441 ; 5.283 ; 44.560 ; 47.840 ; 622.230 ; 2.130.975 ; 66,3 ; 914 ;
;Campodarsego; 14.668 ; 975.430 ; 839.122 ; 516.058 ; 818.234 ; 105.310 ;; 52.869 ; 437.180 ; 113.941 ; 16.543 ; 54.574 ; 101.440 ; 1.379.200 ; 5.409.901 ; 71,5 ; 1.045 ;
;Campodoro; 2.685 ; 144.780 ; 280.230 ; 88.920 ; 88.330 ;;; 6.580 ; 81.180 ; 31.894 ; 1.582 ; 19.280 ; 16.760 ; 160.740 ; 920.276 ; 78,9 ; 236 ;
;Campolongo sul Brenta; 819 ; 67.384 ; 11.140 ; 43.470 ; 44.830 ; 30.193 ;;; -   ; 4.300 ; 763 ; 38.130 ; -   ; 73.039 ; 313.249 ; 68,2 ; 10 ;
;Camposampiero; 12.133 ; 886.380 ; 527.679 ; 416.657 ; 790.362 ; 26.549 ;; 48.608 ; 385.760 ; 198.185 ; 15.972 ; 73.215 ; 135.250 ; 1.755.240 ; 5.259.857 ; 63,1 ; 1.625 ;
;Carmignano di Brenta; 7.621 ; 523.360 ; 320.080 ; 239.840 ; 356.560 ; 3.010 ;; 45.288 ; 197.560 ; 143.050 ; 13.078 ; 219.020 ; 38.320 ; 720.650 ; 2.819.816 ; 65,4 ; 923 ;
;Cartigliano; 3.800 ; 228.420 ; 88.081 ; 95.163 ; 123.662 ; 92.221 ;; 18.057 ; -   ; 63.051 ; 6.687 ; 37.763 ; 28.880 ; 240.240 ; 1.022.225 ; 72,6 ; 382 ;
;Cassola; 14.619 ; 924.290 ; 1.200.870 ; 496.060 ; 608.790 ; 328.170 ;; 83.793 ; -   ; 268.830 ; 33.580 ; 396.990 ; 213.400 ; 1.179.230 ; 5.734.003 ; 72,9 ; 1.087 ;
;Cervarese Santa Croce; 5.742 ; 426.130 ; 437.040 ; 142.990 ; 237.100 ; 6.260 ;; 2.100 ; 152.680 ; 12.420 ; 989 ; 92.730 ; 49.380 ; 588.730 ; 2.148.549 ; 64,3 ; 302 ;
;Cismon del Grappa; 940 ; 79.447 ; 8.200 ; 60.365 ; 62.077 ; 47.323 ;; 6.986 ; 1.538 ; 30.390 ; 2.209 ; 30.926 ; -   ; 85.998 ; 415.459 ; 74,0 ;;
;Cittadella; 20.155 ; 1.452.760 ; 1.666.030 ; 771.560 ; 1.336.210 ; 14.130 ;; 69.266 ; 553.510 ; 446.130 ; 21.295 ; 230.180 ; 284.730 ; 3.002.620 ; 9.848.421 ; 65,1 ; 1.437 ;
;Conco; 2.158 ; 114.600 ; 8.901 ; 87.440 ; 122.369 ; 79.530 ;; 10.699 ; -   ; 41.023 ; 3.530 ; 16.773 ; -   ; 396.060 ; 880.925 ; 53,7 ; 440 ;
;Curtarolo; 7.325 ; 363.880 ; 451.965 ; 241.898 ; 392.451 ; 3.088 ;; 36.835 ; 255.160 ; 82.795 ; 6.145 ; 66.432 ; 36.850 ; 664.730 ; 2.602.229 ; 69,9 ; 891 ;
;Enego; 1.753 ; 69.100 ; 33.900 ; 80.790 ; 94.750 ; 76.650 ;; 5.971 ; -   ; 110 ; 994 ; 10.820 ; 120 ; 427.430 ; 800.635 ; 45,7 ; 345 ;
;Fontaniva; 8.170 ; 482.320 ; 331.100 ; 276.870 ; 322.370 ; 219.150 ;; 36.922 ; -   ; 116.110 ; 13.656 ; 74.790 ; 30.140 ; 952.390 ; 2.855.818 ; 63,6 ; 1.172 ;
;Foza; 715 ; 19.200 ;; 31.160 ; 24.930 ; 22.360 ;; 4.207 ; -   ;; 364 ; 4.930 ; -   ; 144.240 ; 251.391 ; 41,3 ;;
;Galliera Veneta; 7.149 ; 612.230 ; 563.640 ; 257.250 ; 460.780 ; 26.720 ;; 30.508 ; 222.360 ; 196.410 ; 8.519 ; 209.360 ; 64.010 ; 542.560 ; 3.194.347 ; 74,5 ; 616 ;
;Gallio; 2.392 ; 76.360 ;; 95.020 ; 76.700 ; 64.140 ;; 10.730 ; -   ;; 1.009 ; 25.270 ; 75.850 ; 1.241.910 ; 1.666.989 ; 19,9 ;;
;Galzignano Terme; 4.371 ; 307.600 ; 258.920 ; 121.640 ; 197.810 ;;; 14.000 ; 145.860 ;; 3.736 ; 58.910 ; 33.290 ; 316.130 ; 1.457.896 ; 73,0 ; 336 ;
;Gazzo; 4.307 ; 256.920 ; 213.010 ; 113.290 ; 187.680 ; 2.010 ;; 24.240 ; 109.660 ; 104.140 ; 5.752 ; 41.350 ; 23.280 ; 405.330 ; 1.486.662 ; 68,4 ; 466 ;
;Grantorto; 4.666 ; 233.160 ; 171.820 ; 130.480 ; 184.320 ;;; 17.611 ; 129.800 ; 89.360 ; 3.622 ; 70.660 ; 13.510 ; 426.900 ; 1.471.243 ; 64,4 ; 574 ;
;Limena; 7.952 ; 670.980 ; 565.500 ; 256.800 ; 539.580 ; 159.280 ;; 30.378 ; 144.120 ; 104.099 ; 9.786 ; 60.300 ; 106.060 ; 722.900 ; 3.369.783 ; 74,7 ; 754 ;
;Loreggia; 7.568 ; 495.600 ; 373.840 ; 207.720 ; 350.340 ; 7.160 ;; 31.247 ; 265.160 ; 81.573 ; 7.541 ; 64.720 ; 30.940 ; 457.400 ; 2.373.241 ; 75,9 ; 1.022 ;
