BRENTA;Cittadella;20155;1452760;1666030;771560;1336210;14130;-;69266;553510;446130;21295;230180;284730;3002620;9848421;65.1;1437;
BRENTA;Conco;2158;114600;8901;87440;122369;79530;-;10699;-;41023;3530;16773;-;396060;880925;53.7;440;
BRENTA;Curtarolo;7325;363880;451965;241898;392451;3088;-;36835;255160;82795;6145;66432;36850;664730;2602229;69.9;891;
BRENTA;Enego;1753;69100;33900;80790;94750;76650;-;5971;-;110;994;10820;120;427430;800635;45.7;345;
BRENTA;Fontaniva;8170;482320;331100;276870;322370;219150;-;36922;-;116110;13656;74790;30140;952390;2855818;63.6;1172;
BRENTA;Foza;715;19200;-;31160;24930;22360;-;4207;-;;364;4930;-;144240;251391;41.3;-;
BRENTA;Galliera Veneta;7149;612230;563640;257250;460780;26720;-;30508;222360;196410;8519;209360;64010;542560;3194347;74.5;616;
BRENTA;Gallio;2392;76360;-;95020;76700;64140;-;10730;-;;1009;25270;75850;1241910;1666989;19.9;-;
BRENTA;Galzignano Terme;4371;307600;258920;121640;197810;-;;14000;145860;-;3736;58910;33290;316130;1457896;73.0;336;
BRENTA;Gazzo;4307;256920;213010;113290;187680;2010;-;24240;109660;104140;5752;41350;23280;405330;1486662;68.4;466;
BRENTA;Grantorto;4666;233160;171820;130480;184320;-;;17611;129800;89360;3622;70660;13510;426900;1471243;64.4;574;
BRENTA;Limena;7952;670980;565500;256800;539580;159280;-;30378;144120;104099;9786;60300;106060;722900;3369783;74.7;754;
BRENTA;Loreggia;7568;495600;373840;207720;350340;7160;-;31247;265160;81573;7541;64720;30940;457400;2373241;75.9;1022;
BRENTA;Lusiana;2660;114100;10879;108850;117066;88330;-;15939;-;50137;3775;26367;-;228600;764043;67.7;671;
BRENTA;Marostica;13989;788740;592970;486490;614870;38630;2900;65436;336640;241190;16664;95500;117580;1233540;4631150;70.0;2383;
BRENTA;Mason Vicentino;3503;164410;182527;91110;131720;-;;21348;150031;37704;3918;94573;17657;174170;1069168;73.6;735;
BRENTA;Massanzago;6045;323540;215980;132691;254632;2067;-;23173;199540;38217;5572;30857;20480;482870;1729619;68.3;775;
BRENTA;Mestrino;11459;841180;683604;327280;593973;8546;-;43785;334820;163076;5421;86064;74930;1060560;4223239;70.9;482;
BRENTA;Molvena;2576;114730;143762;72373;88056;-;;17294;106895;30271;3552;76914;13938;153350;821135;71.9;596;
BRENTA;Montegrotto Terme;11346;1813010;558410;849067;656597;6810;-;24548;448940;120564;14164;131699;197190;1942950;6763949;66.6;579;
BRENTA;Mussolente;7654;495580;210400;251620;288880;245960;-;39932;-;101350;15382;108860;47760;440490;2246214;76.0;1068;
BRENTA;Nove;5038;181080;454995;149540;212160;94805;25000;30531;-;189990;12797;62900;74200;283560;1771558;79.6;1374;
BRENTA;Noventa Padovana;11265;990500;1162210;402910;616390;-;;6273;293180;39340;5532;11980;58050;1231180;4817545;72.7;61;
BRENTA;Pianezze;2155;51170;125444;63358;77376;-;;14881;89580;26491;2868;65663;12854;110420;640105;72.2;-;
BRENTA;Piazzola Sul Brenta;11251;756750;788360;326360;531550;-;;27292;365340;59367;6257;28462;77310;1076070;4043118;70.1;1616;
BRENTA;Piombino Dese;9534;520860;501900;264410;453720;1740;-;37524;319400;224290;16675;161710;36180;701180;3239589;71.4;1699;
BRENTA;Pove Del Grappa;3092;253925;130500;31644;149968;98579;-;15499;-;44966;5634;37742;31240;283967;1083664;70.1;-;
BRENTA;Pozzoleone;2775;45900;93080;97020;123840;42710;-;15100;-;66183;5005;46000;1180;281160;817178;61.6;715;
BRENTA;Roana;4316;415620;389260;204290;261760;239660;-;22458;-;;2329;39820;427460;809270;2811927;63.4;-;
BRENTA;Romano D'Ezzelino;14470;1168858;721900;436316;621592;298744;-;87663;-;312370;25604;271629;125400;1429797;5499873;69.5;473;
BRENTA;Rosa';14417;845440;1687240;507820;721850;405510;-;67980;-;240590;25959;186770;116620;1385950;6191729;74.7;1948;
BRENTA;Rossano Veneto;8091;552420;345320;249680;368530;217790;-;26264;-;79860;9904;96190;66080;520980;2533018;75.6;686;
BRENTA;Rotzo;654;31800;50180;30670;31340;32310;-;3910;-;;372;5410;-;86190;272182;66.9;-;
BRENTA;Rovolon;4967;393950;223960;160450;271980;-;;9557;173720;17700;3134;30660;6600;430140;1721851;72.2;-;
BRENTA;Rubano;16225;1342280;403525;528070;851424;136524;-;46646;487060;202937;11941;100375;178870;2034320;6323972;63.8;1333;
BRENTA;Saccolongo;4940;366910;417610;157700;202872;729;-;19427;125360;39726;3206;37831;22760;472400;1866531;70.1;-;
BRENTA;San Giorgio Delle Pertiche;10214;677860;339080;293320;544650;2200;-;34616;348060;173803;11229;76352;45460;841210;3387840;70.8;1208;
BRENTA;San Giorgio In Bosco;6327;300630;283240;192360;346270;-;;15536;240670;6545;4947;9504;-;478810;1878512;72.3;1061;
BRENTA;San Martino Di Lupari;13177;948600;763440;466950;658240;12880;-;54586;457880;278628;14444;119120;100860;1334900;5210528;70.0;901;
BRENTA;San Nazario;1705;146794;21420;80567;79689;62722;-;8407;-;39522;2236;22042;-;189197;652596;68.6;-;
BRENTA;San Pietro In Gu;4523;304700;210560;134800;216990;122230;-;18520;-;62200;5098;94110;5500;358320;1533028;70.4;698;
